tool	blocks	isError	block_chars	has_structuredContent
help	1	False	6389	no
history	1	False	6	no
db_tables	1	False	166	no
db_list	1	False	15	no
win_list	1	False	363	no
layout_list	1	False	35	no
app_get	1	False	454	no
module_list	2	False	794,1329	no
prompt_get	1	True	34	no
prompt_history	1	True	47	no
correction_list	2	False	7,2	no
incident_list	2	False	7,2	no
command_list	2	False	8602,47953	no
command_domains	2	False	531,753	no
proj_list	2	False	3972,5406	no
proj_metalist	2	False	1167,1581	no
git_rule_list	1	True	37	no
tool_list	2	False	166,380	no
HelloWorld_Say	2	False	13,15	no
ToolKit_NewGuid	2	False	36,38	no
ToolKit_Now	2	False	75,63	no
ProjectPulse_Summary	1	True	71	no
ToolRelay_List	2	False	7178,4249	no
