tool	blocks	isError	block_chars	has_structuredContent
help	1	False	6054	no
history	1	False	231	no
db_tables	1	False	166	no
db_list	1	False	15	no
win_list	1	False	328	no
layout_list	1	False	35	no
app_get	1	False	480	no
module_list	2	False	492,767	no
prompt_get	1	True	34	no
prompt_history	1	True	47	no
correction_list	2	False	7,2	no
incident_list	2	False	7,2	no
command_list	2	False	8185,45509	no
command_domains	2	False	468,654	no
proj_list	2	False	3870,5265	no
proj_metalist	2	False	1167,1581	no
git_rule_list	1	True	37	no
tool_list	2	False	259,587	no
HelloWorld_Say	2	False	13,15	no
ToolKit_NewGuid	2	False	36,38	no
ToolKit_Now	2	False	75,63	no
ProjectPulse_Summary	1	True	71	no
ToolRelay_List	2	False	5528,3287	no
