"Tag","Method","Path","OperationId","Summary"
"application","GET","/api/core/application/v1/apps","getApps","获取所有自定义安装的APP"
"application","POST","/api/core/application/v1/apps","installApp","安装APP"
"application","DELETE","/api/core/application/v1/apps/{app_name}","deleteApp","卸载一个APP"
"artifact","DELETE","/api/core/artifact/v1/laser-landmarks","deleteLaserLandmarks","清空激光地标"
"artifact","GET","/api/core/artifact/v1/laser-landmarks","getLaserLandmarks","获取激光地标"
"artifact","PUT","/api/core/artifact/v1/laser-landmarks","putLaserLandmarks","设置激光地标"
"artifact","POST","/api/core/artifact/v1/laser-landmarks/:remove","removeLaserLandmarks","删除激光地标"
"artifact","GET","/api/core/artifact/v1/laser-landmarks/:update","getLaserLandmarkUpdate","获取激光地标更新状态"
"artifact","PUT","/api/core/artifact/v1/laser-landmarks/:update","setLaserLandmarkUpdate","设置取激光地标更新状态"
"artifact","DELETE","/api/core/artifact/v1/lines/{usage}","clearLines","清空某一类虚拟线段"
"artifact","GET","/api/core/artifact/v1/lines/{usage}","getLines","获取虚拟线段"
"artifact","POST","/api/core/artifact/v1/lines/{usage}","addLines","添加虚拟线段"
"artifact","PUT","/api/core/artifact/v1/lines/{usage}","modifyLines","修改虚拟线段"
"artifact","DELETE","/api/core/artifact/v1/lines/{usage}/{id}","removeLineById","删除虚拟线段"
"artifact","DELETE","/api/core/artifact/v1/pois","clearPois","清空POI"
"artifact","GET","/api/core/artifact/v1/pois","getCurrentPois","获取当前地图中的所有POI"
"artifact","POST","/api/core/artifact/v1/pois","addPois","添加POI"
"artifact","POST","/api/core/artifact/v1/pois/:adjust","adjustPois","优化POI位姿"
"artifact","DELETE","/api/core/artifact/v1/pois/{poi_id}","deletePoi","删除POI"
"artifact","GET","/api/core/artifact/v1/pois/{poi_id}","getPoiById","根据ID查找POI"
"artifact","PUT","/api/core/artifact/v1/pois/{poi_id}","modifyPoi","修改POI"
"artifact","DELETE","/api/core/artifact/v1/rectangle-areas/{usage}","clearRectangleAreas","清空某一类矩形区域"
"artifact","GET","/api/core/artifact/v1/rectangle-areas/{usage}","getRectangleAreas","获取矩形区域"
"artifact","POST","/api/core/artifact/v1/rectangle-areas/{usage}","addRectangleArea","添加矩形区域"
"artifact","DELETE","/api/core/artifact/v1/rectangle-areas/{usage}/{id}","removeRectangleAreaById","删除矩形区域"
"artifact","PUT","/api/core/artifact/v1/rectangle-areas/{usage}/{id}","editRectangleArea","编辑矩形区域"
"delivery","GET","/api/delivery/v1/admin/language","getLanguage","获取机器人语言"
"delivery","PUT","/api/delivery/v1/admin/language","setLanguage","设置机器人语言"
"delivery","GET","/api/delivery/v1/admin/line_speed","getLineSpeed","获取配送速度和返航速度"
"delivery","PUT","/api/delivery/v1/admin/line_speed","setLineSpeed","设置配送速度和返航速度"
"delivery","GET","/api/delivery/v1/admin/mode","getWorkMode","获取机器人工作模式"
"delivery","PUT","/api/delivery/v1/admin/mode","setWorkMode","设置机器人工作模式"
"delivery","GET","/api/delivery/v1/admin/move_options","getMoveOptions","获取运动选项"
"delivery","PUT","/api/delivery/v1/admin/move_options","setMoveOptions","设置运动选项"
"delivery","GET","/api/delivery/v1/admin/password","getPassword","获取操作密码"
"delivery","PUT","/api/delivery/v1/admin/password","setPassword","设置操作密码"
"delivery","GET","/api/delivery/v1/admin/working_time","getWorkingTime","获取机器人工作时间"
"delivery","PUT","/api/delivery/v1/admin/working_time","setWorkingTime","设置机器人工作时间"
"delivery","GET","/api/delivery/v1/cargos","getCargos","获取所有Cargo信息"
"delivery","GET","/api/delivery/v1/cargos/{cargo_id}/boxes","getCargoBoxes","获取某个Cargo所有Box信息"
"delivery","GET","/api/delivery/v1/cargos/{cargo_id}/boxes/{box_id}","getCargoBox","获取Box信息"
"delivery","PUT","/api/delivery/v1/cargos/{cargo_id}/boxes/{box_id}/{op}","operateBox","操作Box"
"delivery","GET","/api/delivery/v1/cargos/{cargo_id}/boxes/{box_id}/operation_result","getOperationResult","查询Box操作结果"
"delivery","GET","/api/delivery/v1/cargos/assigned","getAssignedCargos","获取被占用的外卖舱"
"delivery","GET","/api/delivery/v1/configurations","getConfigurations","获取机器配置信息"
"delivery","GET","/api/delivery/v1/settings","getDeliverySettings","获取配送相关的设置信息"
"delivery","PUT","/api/delivery/v1/settings/timeout","setTimeoutSettings","设置任务的超时时间"
"delivery","GET","/api/delivery/v1/stage","getStage","获取当前任务状态"
"delivery","DELETE","/api/delivery/v1/tasks","cancelAllTasks","取消所有任务"
"delivery","GET","/api/delivery/v1/tasks","getTasks","查询任务信息"
"delivery","POST","/api/delivery/v1/tasks","createTask","创建任务"
"delivery","POST","/api/delivery/v1/tasks/:batch","createTasks","批量创建任务"
"delivery","PUT","/api/delivery/v1/tasks/:end_operation","endOperation","完成操作"
"delivery","PUT","/api/delivery/v1/tasks/:end_pickup","endPickup","结束取物"
"delivery","PUT","/api/delivery/v1/tasks/:start_pickup","startPickup","开始取物"
"delivery","PUT","/api/delivery/v1/tasks/:task_execution","setTaskExecution","暂停/继续执行任务"
"delivery","PUT","/api/delivery/v1/tasks/:task_finish","endTask","结束所有任务"
"delivery","DELETE","/api/delivery/v1/tasks/{task_id}","cancelTaskByTaskId","根据Task ID取消任务"
"delivery","DELETE","/api/delivery/v1/tasks/orders/{order_id}","cancelTaskByOrderId","根据订单ID取消任务"
"delivery","GET","/api/delivery/v1/voice_resources","getVoiceResources","获取语音包信息"
"firmware","GET","/api/core/firmware/v1/autoupdate/:enable","getEnableAutoUpdate","是否支持自动升级"
